"Reference","Value","Footprint","Datasheet","Availability","Check_prices","Description","MF","MP","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","Package","Price","SUPPLIER","SnapEDA_Link","Qté"
"C1","100nF","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","","","","","","","","","","","","1"
"C2","47uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","","","","","","","","1"
"D1","D_Zener 2.7v","Diode_THT:D_A-405_P10.16mm_Horizontal","~","","","","","","","","","","","","","","1"
"D2","D_Zener 10v","Diode_THT:D_A-405_P10.16mm_Horizontal","~","","","","","","","","","","","","","","1"
"H1-H4","MountingHole","MountingHole:MountingHole_2.7mm_M2.5_DIN965_Pad","~","","","","","","","","","","","","","","4"
"P1-P8, P23-P25","Conn_01x01_Pin","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~","","","","","","","","","","","","","","11"
"P9","SCART R (15)","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~","","","","","","","","","","","","","","1"
"P10","SCART V (11)","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~","","","","","","","","","","","","","","1"
"P11","SCART B (7)","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~","","","","","","","","","","","","","","1"
"P12","SCART Synchro (20)","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~","","","","","","","","","","","","","","1"
"P13","SCART Com Lente (8)","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~","","","","","","","","","","","","","","1"
"P14","SCART Com Rapide (16)","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~","","","","","","","","","","","","","","1"
"P15","SCART_Audio D (2)","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~","","","","","","","","","","","","","","1"
"P16","SCART Audio G (6)","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~","","","","","","","","","","","","","","1"
"P17","SCART Masse R (13)","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~","","","","","","","","","","","","","","1"
"P18","SCART Masse V (9)","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~","","","","","","","","","","","","","","1"
"P19","SCART Masse B (5)","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~","","","","","","","","","","","","","","1"
"P20","SCART Masse Sync (17)","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~","","","","","","","","","","","","","","1"
"P21","SCART Masse Audio","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~","","","","","","","","","","","","","","1"
"P22","SCART Shield","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","~","","","","","","","","","","","","","","1"
"R1-R4","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","","4"
"R5, R10","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","","2"
"R6","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","","1"
"R7, R8","300R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","","2"
"R9","200R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","","1"
"U1","74HCT08N","LibraryKicadPerso:DIP254P762X420-14","","In Stock","https://www.snapeda.com/parts/74HCT08N/Texas+Instruments/view-part/?ref=eda","
AND Gate IC 4 Channel - 14-PDIP
","Texas Instruments","74HCT08N","74HCT08N","381792","07WX3522","DIP-14","DIP-14 NXP Semiconductors","None","NXP","https://www.snapeda.com/parts/74HCT08N/Texas+Instruments/view-part/?ref=snap","1"
